Date,Open,High,Low,Close,Adj Close,Volume
2013-08-12,1.089900,1.103100,1.081300,1.088400,1.088400,0
2013-08-19,1.087000,1.119300,1.083000,1.107500,1.107500,0
2013-08-26,1.107300,1.124100,1.102700,1.119600,1.119600,0
2013-09-02,1.118700,1.118700,1.084400,1.087000,1.087000,0
2013-09-09,1.088000,1.090600,1.067000,1.070500,1.070500,0
2013-09-16,1.072500,1.076600,1.050000,1.065100,1.065100,0
2013-09-23,1.063900,1.076200,1.057900,1.076000,1.076000,0
2013-09-30,1.075500,1.076800,1.057200,1.059400,1.059400,0
2013-10-07,1.059100,1.065100,1.054100,1.060100,1.060100,0
2013-10-14,1.058500,1.059800,1.033070,1.033700,1.033700,0
2013-10-21,1.035000,1.044500,1.025000,1.042100,1.042100,0
2013-10-28,1.041700,1.061100,1.039100,1.056400,1.056400,0
2013-11-04,1.056100,1.069000,1.048100,1.067000,1.067000,0
2013-11-11,1.067100,1.077300,1.065000,1.067300,1.067300,0
2013-11-18,1.067200,1.092500,1.059000,1.090700,1.090700,0
2013-11-25,1.090900,1.104100,1.086400,1.096300,1.096300,0
2013-12-02,1.096200,1.111800,1.090700,1.098100,1.098100,0
2013-12-09,1.098300,1.122200,1.092100,1.116900,1.116900,0
2013-12-16,1.117100,1.133300,1.114900,1.120700,1.120700,0
2013-12-23,1.120600,1.130000,1.116500,1.129200,1.129200,0
2013-12-30,1.129400,1.131600,1.110500,1.115700,1.115700,0
2014-01-06,1.115400,1.127600,1.110000,1.110700,1.110700,0
2014-01-13,1.109500,1.140500,1.100700,1.139700,1.139700,0
2014-01-20,1.139700,1.154500,1.125100,1.149500,1.149500,0
2014-01-27,1.150000,1.152200,1.133200,1.142500,1.142500,0
2014-02-03,1.141900,1.145100,1.111300,1.117800,1.117800,0
2014-02-10,1.118000,1.122500,1.102700,1.104400,1.104400,0
2014-02-17,1.103800,1.118800,1.101400,1.113800,1.113800,0
2014-02-24,1.113700,1.124400,1.105800,1.123300,1.123300,0
2014-03-03,1.123000,1.124500,1.094700,1.104100,1.104100,0
2014-03-10,1.104100,1.120000,1.098400,1.107700,1.107700,0
2014-03-17,1.107300,1.111400,1.094600,1.099500,1.099500,0
2014-03-24,1.099700,1.104500,1.075600,1.080700,1.080700,0
2014-03-31,1.081100,1.086000,1.074600,1.076600,1.076600,0
2014-04-07,1.076700,1.080500,1.056900,1.066200,1.066200,0
2014-04-14,1.065500,1.072400,1.061100,1.070600,1.070600,0
2014-04-21,1.071600,1.080500,1.066300,1.078300,1.078300,0
2014-04-28,1.078000,1.086500,1.073500,1.077400,1.077400,0
2014-05-05,1.078200,1.080700,1.064300,1.068500,1.068500,0
