Back to Contents,Data 1: U.S. Refinery and Blender Net Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,MTTRPUS1,MNGRPUS1,M_EPL2_YPR_NUS_MBBL,MENRPUS1,MPARP_NUS_1,MBURPUS1,MIIRPUS1,M_EPLOLE_YPR_NUS_MBBL,MEYRPUS1,MPLRPUS1,MBYRPUS1,MIYRPUS1,MLPRPUS1,METRPUS1,MPRRPUS1,MBNRPUS1,MBIRPUS1,MGFRPUS1,MGRRPUS1,MG1RP_NUS_1,M_EPM0RO_YPR_NUS_MBBL,MG4RP_NUS_1,MG5RP_NUS_1,M_EPM0CAL55_YPR_NUS_MBBL,M_EPM0CAG55_YPR_NUS_MBBL,MG6RP_NUS_1,MGARPUS1,MKJRPUS1,MKERPUS1,MDIRPUS1,MD0RP_NUS_1,MD1RP_NUS_1,MDGRPUS1,MRERPUS1,MRLRPUS1,MRMRPUS1,MRGRPUS1,MPCRPUS1,MNFRPUS1,MOTRPUS1,MNSRPUS1,MLURPUS1,MWXRPUS1,MCKRPUS1,MCMRPUS1,MCORPUS1,MAPRPUS1,MSGRPUS1,MMSRPUS1,MPGRPUS1,
2008,6641293,230431,,4608,114268,33092,2068,,2063,75752,-2205,785,230431,6671,190020,30887,2853,3128673,1099958,1092304,7654,2028715,950368,,,1078347,5506,546410,5796,1571539,1154946,231536,185057,226867,28543,47524,150800,122501,56999,65502,14860,63212,3647,299253,217804,81449,150010,245050,27538,-363400,
2009,6527069,227470,,5229,106177,24148,-552,,1840,89834,-1677,794,227470,7069,196011,24148,242,3206726,1106532,1099355,7177,2100194,1417783,,,682411,5030,509684,7171,1477534,1109926,201620,165988,218339,27621,34982,155736,114088,71603,42485,11959,55013,2804,291615,209960,81655,131192,242503,25941,-357176,
2010,6735067,240454,138692,5200,102913,32094,-1515,101762,2028,101310,-1813,237,240454,7228,204223,30281,-1278,3306400,1114738,1101847,12891,2191662,1747270,1746660,610,444392,5354,517475,6880,1541503,1255082,119591,166830,213493,17362,31190,164941,119344,76367,42977,13624,60153,3028,296383,214313,82070,138002,245302,27672,-389695,
2011,6815590,225992,122130,5105,98508,19263,-746,103862,2043,102984,-1814,649,225992,7148,201492,17449,-97,3306028,1103794,1100673,3121,2202234,1860309,1859391,918,341925,5334,528811,5749,1639606,1420350,65617,153639,196168,13449,28264,154455,112263,75347,36916,13760,62003,3038,307668,224525,83143,132487,247829,28854,-392880,
2012,6794407,230413,129506,4835,100933,22965,773,100907,1762,101376,-2385,154,230413,6597,202309,20580,927,3267022,1096709,1096709,,2170313,1933809,1932918,891,236504,4858,538319,2771,1665256,1477480,50413,137363,183222,12008,28109,143105,110319,75054,35265,16322,57516,2959,312346,227694,84652,127020,246803,29261,-387714,
2013,6973710,227349,127577,2439,103568,23452,-1882,99772,187,102470,-2715,-170,227349,2626,206038,20737,-2052,3370460,1105394,1105394,,2265066,1986615,1985589,1026,278451,4224,547275,3946,1727493,1561271,55974,110248,170445,16119,21498,132828,123577,87357,36220,15296,59797,3039,317819,233658,84161,116946,256216,29828,-396633,
2014,7173730,238485,138153,1777,111813,27653,-3090,100332,261,102565,-2241,-253,238485,2038,214378,25412,-3343,3493224,1119066,1119066,,2374158,2038162,2037066,1096,335996,4490,562600,7052,1794433,1652810,48627,92996,158897,18190,19538,121169,114001,74553,39448,15354,60678,2588,320364,235454,84910,116833,252824,31907,-394388,
2015,7258314,224329,127010,1804,103423,23935,-2152,97319,299,100646,-3345,-281,224329,2103,204069,20590,-2433,3560117,1148231,1148231,,2411886,2095612,2094603,1009,316274,3953,580431,5937,1818780,1693086,44773,80921,152266,16552,19038,116676,106339,69375,36964,13276,65449,1755,318834,236805,82029,124429,249171,33248,-387610,
2016,7348911,231136,128452,1216,112289,17394,-2447,102684,265,102652,-435,202,231136,1481,214941,16959,-2245,3658204,1186714,1186532,182,2471490,2137052,2135598,1454,334438,4059,603899,5167,1769335,1653637,44198,71500,152855,17352,18212,117291,106558,70159,36399,12640,60554,1734,333124,247525,85599,120958,255241,33447,-409177,
2017,7408771,229391,127270,1958,111964,15710,-2362,102121,270,103962,-2397,286,229391,2228,215926,13313,-2076,3633123,1187104,1187104,,2446019,2135668,2133736,1932,310351,4032,621176,2738,1833879,1713652,42167,78060,155851,18946,19577,117328,112198,71578,40620,13688,64970,1774,329170,245213,83957,120515,251761,34505,-405612,
